Frame,Thumb_X,Thumb_Y,Index_X,Index_Y,Middle_X,Middle_Y,Ring_X,Ring_Y,Pinky_X,Pinky_Y
1,0.6340942,0.51746047,0.55585754,0.51640356,0.5344135,0.5243873,0.53419006,0.53781307,0.54134655,0.55728865
2,0.63954824,0.51129425,0.55539036,0.5111452,0.5377165,0.5197059,0.5323341,0.5331723,0.54016036,0.5515868
3,0.6443188,0.50750923,0.55377996,0.5056519,0.53469133,0.5135912,0.5309744,0.5277983,0.53960997,0.54793054
4,0.64933807,0.50487226,0.5539321,0.501686,0.53283566,0.50931174,0.529232,0.52347326,0.54012626,0.5421753
5,0.652842,0.5046415,0.554249,0.49981245,0.53462374,0.5069934,0.5286076,0.52023685,0.53809655,0.53874993
6,0.6548788,0.5046741,0.5541003,0.49760586,0.5330202,0.5041623,0.5270315,0.5173141,0.5359179,0.5364114
7,0.654863,0.5055223,0.55507743,0.49672747,0.53251445,0.5032107,0.52684236,0.516841,0.535281,0.53635377
8,0.6565263,0.50470614,0.5519654,0.49545968,0.5305579,0.5019192,0.52525514,0.5156585,0.5331261,0.53445935
9,0.65788716,0.5047363,0.55173993,0.49416178,0.53133136,0.50061464,0.52624327,0.51471674,0.5330588,0.5329727
10,0.65846074,0.50386184,0.5530506,0.49394402,0.5319025,0.500546,0.52813333,0.51500386,0.535905,0.53552914
11,0.6608992,0.5051997,0.552449,0.4939732,0.53118074,0.49992773,0.5276416,0.5140155,0.5353813,0.5344281
12,0.6628252,0.5058281,0.55350035,0.4940004,0.53176725,0.49925256,0.5273447,0.51361,0.5335503,0.5326195
13,0.6623111,0.5043138,0.5523053,0.49257553,0.53226435,0.4989028,0.527964,0.5130126,0.5355696,0.53298223
14,0.66492087,0.50397605,0.5537774,0.49264422,0.5309624,0.4979948,0.52706957,0.51277447,0.5353889,0.5327751
15,0.6663546,0.5027658,0.5550262,0.49253207,0.5322052,0.4980725,0.52702135,0.5120075,0.534417,0.5321586
16,0.66759074,0.50279325,0.55365914,0.4916078,0.5315013,0.49723566,0.5255158,0.51038975,0.5331062,0.5307247
17,0.66846144,0.50164557,0.5537019,0.49135548,0.530881,0.49634406,0.5248356,0.51036674,0.5316431,0.5318554
18,0.6676788,0.50394577,0.55113137,0.4919365,0.5313787,0.4976127,0.5268748,0.5135462,0.5332567,0.5385113
19,0.6548845,0.5101397,0.54873997,0.49595904,0.5299981,0.49965543,0.52435243,0.5136072,0.5280325,0.5376002
20,0.62348145,0.5264789,0.5406965,0.5055866,0.5355343,0.5044446,0.53159636,0.51120406,0.53737116,0.52423674
21,0.55793184,0.5756927,0.53080994,0.5248475,0.53041905,0.51738447,0.54072225,0.51994187,0.57156134,0.53094494
22,0.5387698,0.6060987,0.5049354,0.5532115,0.5128496,0.5440469,0.5280719,0.5416848,0.57339394,0.54582894
23,0.53675616,0.6275689,0.49151653,0.5826697,0.49849164,0.57663304,0.51784945,0.57296884,0.5664317,0.57058644
24,0.5260667,0.65156084,0.48080805,0.6082046,0.4854447,0.60177785,0.5060069,0.60177755,0.5611844,0.6011811
25,0.55374527,0.6429779,0.47764757,0.63460004,0.47806728,0.6322545,0.49689662,0.63445616,0.5569508,0.63669616
26,0.5514841,0.65933514,0.47655776,0.6559579,0.48612273,0.6547362,0.49798742,0.656622,0.5211921,0.66605943
27,0.5514061,0.6815866,0.48165488,0.6829239,0.47703797,0.68551344,0.48518977,0.69041306,0.51163805,0.69633734
28,0.5228808,0.6896226,0.47908705,0.7071409,0.4735189,0.71121544,0.48940307,0.71812177,0.53026336,0.7230347
29,0.52279127,0.70145726,0.47717026,0.7200932,0.47355032,0.7244727,0.49154532,0.7306257,0.53430605,0.7374559
30,0.5201751,0.70655596,0.47123584,0.7327364,0.47009975,0.7378174,0.49060023,0.7444578,0.5353392,0.7483994
